#ZnFeO small;
#conc;#temp
1;28.8
1;29.2
1;28.6
1;28.9
1;29
1;29.1
2;27.1
2;27.3
2;27.3
2;27.1
2;27.1
2;26.6
3;31
3;31.3
3;32.1
3;30.8
3;31.6
3;30.6
4;39.2
4;38
4;39.3
4;39.9
4;40.3
4;39.9
5;47.2
5;47
5;48.8
5;47.2
5;45.3
5;46.5
6;43.5
6;43.4
6;42.9
6;45.6
6;43.6
6;44.9
7;43.4
7;45
7;44.4
7;45
7;45
7;45.2
