#ZnFeO small;
#conc;#temp
2;25.6
2;25.9
2;25.3
2;25.7
2;25.6
2;26.1
3;37.5
3;37.8
3;37.7
3;37.6
3;38.2
3;38.3
4;31.4
4;33.3
4;33
4;33.1
4;33.3
4;33.6
5;40.7
5;40.7
5;40.7
5;41
5;40
5;40.5
6;41
6;41.1
6;41.5
6;41.7
6;42.1
6;42
7;33
7;33.9
7;33.6
7;33.8
7;33.6
7;33.8
