#ZnFeO small;
#conc;#temp
1;29.4
1;30.5
1;30.2
1;29.8
1;29.4
1;30.1
3;32.1
3;32.5
3;32.9
3;32.2
3;31.5
3;31.9
4;40.7
4;40.9
4;39.9
4;41.1
4;41
4;40
5;44.8
5;45
5;44.3
5;45
5;43.7
5;43.6
6;49.1
6;49.5
6;50.4
6;49.6
6;50.3
6;49.4
7;50.8
7;51.9
7;51.4
7;50.7
7;51.8
7;50.5
